BBG Ticker,Name,index,fsym id
CDW US Equity,CDW Corp/DE,S5INFT,RTXD8D-R
MXIM US Equity,Maxim Integrated Products Inc,S5INFT,F72PJT-R
HPQ US Equity,HP Inc,S5INFT,MS57L1-R
IBM US Equity,International Business Machines Corp,S5INFT,SJY281-R
APH US Equity,Amphenol Corp,S5INFT,V2H5QG-R
WU US Equity,Western Union Co/The,S5INFT,J9F59G-R
ACN US Equity,Accenture PLC,S5INFT,BWDZ2P-R
PTC US Equity,PTC Inc,S5INFT,BYP0PF-R
VRSN US Equity,VeriSign Inc,S5INFT,NB76FG-R
CSCO US Equity,Cisco Systems Inc/Delaware,S5INFT,GFJC62-R
INTC US Equity,Intel Corp,S5INFT,HZ6Z7Q-R
QRVO US Equity,Qorvo Inc,S5INFT,M8867B-R
MSFT US Equity,Microsoft Corp,S5INFT,P8R3C2-R
GPN US Equity,Global Payments Inc,S5INFT,KK1YRK-R
NVDA US Equity,NVIDIA Corp,S5INFT,K7TPSX-R
CTSH US Equity,Cognizant Technology Solutions Corp,S5INFT,NT38T5-R
STX US Equity,Seagate Technology Holdings PLC,S5INFT,KXDMGL-R
DXC US Equity,DXC Technology Co,S5INFT,B4PGFJ-R
BR US Equity,Broadridge Financial Solutions Inc,S5INFT,MXZ7RW-R
FFIV US Equity,F5 Networks Inc,S5INFT,JJ39BV-R
AKAM US Equity,Akamai Technologies Inc,S5INFT,PX1NYT-R
TXN US Equity,Texas Instruments Inc,S5INFT,HQ87P5-R
WDC US Equity,Western Digital Corp,S5INFT,W00MKH-R
ADP US Equity,Automatic Data Processing Inc,S5INFT,TY202Q-R
JNPR US Equity,Juniper Networks Inc,S5INFT,X59HZ5-R
IT US Equity,Gartner Inc,S5INFT,T67DJN-R
CRM US Equity,salesforce.com Inc,S5INFT,GZMRSV-R
NOW US Equity,ServiceNow Inc,S5INFT,MJ0XB7-R
FLT US Equity,FleetCor Technologies Inc,S5INFT,WGXV7D-R
AMD US Equity,Advanced Micro Devices Inc,S5INFT,RT66YK-R
ADBE US Equity,Adobe Inc,S5INFT,DJC2TN-R
AAPL US Equity,Apple Inc,S5INFT,MH33D6-R
ADSK US Equity,Autodesk Inc,S5INFT,JXMLY8-R
MA US Equity,Mastercard Inc,S5INFT,LQBB5R-R
KLAC US Equity,KLA Corp,S5INFT,CZBYFY-R
ANET US Equity,Arista Networks Inc,S5INFT,TNZ6CZ-R
ORCL US Equity,Oracle Corp,S5INFT,HQ4DBK-R
FIS US Equity,Fidelity National Information Services I,S5INFT,RGTY61-R
AVGO US Equity,Broadcom Inc,S5INFT,B81TLL-R
CDNS US Equity,Cadence Design Systems Inc,S5INFT,X1SCTR-R
TYL US Equity,Tyler Technologies Inc,S5INFT,RT7HCR-R
MPWR US Equity,Monolithic Power Systems Inc,S5INFT,VZYGFG-R
SWKS US Equity,Skyworks Solutions Inc,S5INFT,DXVDJ4-R
GLW US Equity,Corning Inc,S5INFT,K24537-R
AMAT US Equity,Applied Materials Inc,S5INFT,M0H6M5-R
JKHY US Equity,Jack Henry & Associates Inc,S5INFT,KW432H-R
SNPS US Equity,Synopsys Inc,S5INFT,CPCV0Y-R
HPE US Equity,Hewlett Packard Enterprise Co,S5INFT,F9VYPD-R
TEL US Equity,TE Connectivity Ltd,S5INFT,T1N9NF-R
FISV US Equity,Fiserv Inc,S5INFT,QLQKDC-R
ANSS US Equity,ANSYS Inc,S5INFT,CN7T72-R
V US Equity,Visa Inc,S5INFT,LC1BTF-R
LRCX US Equity,Lam Research Corp,S5INFT,RT2ZSJ-R
ADI US Equity,Analog Devices Inc,S5INFT,F17SJ1-R
PAYX US Equity,Paychex Inc,S5INFT,FBB432-R
PYPL US Equity,PayPal Holdings Inc,S5INFT,RQ9F5S-R
QCOM US Equity,QUALCOMM Inc,S5INFT,FXH4XG-R
TRMB US Equity,Trimble Inc,S5INFT,TBS2VP-R
NLOK US Equity,NortonLifeLock Inc,S5INFT,KDHCQP-R
KEYS US Equity,Keysight Technologies Inc,S5INFT,FXTG1M-R
TER US Equity,Teradyne Inc,S5INFT,G4GB6B-R
XLNX US Equity,Xilinx Inc,S5INFT,JMHSJV-R
IPGP US Equity,IPG Photonics Corp,S5INFT,VR4SHN-R
INTU US Equity,Intuit Inc,S5INFT,L6CPTK-R
MCHP US Equity,Microchip Technology Inc,S5INFT,V5WMVF-R
ZBRA US Equity,Zebra Technologies Corp,S5INFT,F82H8Q-R
ENPH US Equity,Enphase Energy Inc,S5INFT,TXN5MP-R
NXPI US Equity,NXP Semiconductors NV,S5INFT,FJ8GT6-R
PAYC US Equity,Paycom Software Inc,S5INFT,V3Q5PM-R
MU US Equity,Micron Technology Inc,S5INFT,CHR1NX-R
MSI US Equity,Motorola Solutions Inc,S5INFT,MMRZQ5-R
